committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Coana Pac (Colorado Association Of Nurse Anesthetists Political Action Committee),Political Committee,100,5/4/21 0:00,Colorado Secretary Of State,Denver,CO,80290,Other,Pac Filing Fees
Colorado Democratic Party,Political Party Committee,159.8,5/4/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Bank Fees,Merchant Fees
Colorado Energy Education Pac (Ceepac),Political Committee,10,5/4/21 0:00,Umb Bank,Denver,CO,80222,Bank Fees,
Colorado Energy Education Pac (Ceepac),Political Committee,16.4,5/4/21 0:00,Anedot,,CO,,Bank Fees,
Colorado Republican Committee,Political Party Committee,805,5/4/21 0:00,Maybell Group,Aurora,CO,80046,Fundraising Expenses,Fundraising Consulting Expenses
Leroy Garcia Leadership Fund,Political Committee,18,5/4/21 0:00,Colorado Valets,Denver,CO,80202,Travel & Lodging,Valet
Lundeen Leadership Fund,Political Committee,82.72,5/4/21 0:00,Montanaa Grill,Denver,CO,80202,Other,6890 ∑ Other Meeting Expense
Colorado Chamber Small Donor Committee,Small Donor Committee,1000,5/5/21 0:00,Colorado Neighborhood Coalition,Denver,CO,80219,Contributions,Filed As A Non-Profit Corporation 03.18.2019
Colorado Democratic Party,Political Party Committee,2621.19,5/5/21 0:00,Matthew  Mcgovern,Denver,CO,80203,Employee Services,Payroll
Colorado Democratic Party,Political Party Committee,649.12,5/5/21 0:00,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
Friends Of Colorado Hospitals (F/K/A Hospitals Express Legislative Preference),Political Committee,-100,5/5/21 0:00,Caraveo For Colorado,Thornton,CO,80241,Returned Expenditure,Partial Return Of Contribution
Colorado Republican Committee,Political Party Committee,169.5,5/6/21 0:00,J2 Efax,Los Angeles,CA,90028,Office Equipment & Supplies,Office Supplies
Leroy Garcia Leadership Fund,Political Committee,31.73,5/6/21 0:00,Blue Agave Grill,Denver,CO,80202,"Food, Beverages and Meals",Meeting
Pete Lee Leadership Fund,Political Committee,1000,5/6/21 0:00,Colorado Democratic Party Political Committee,Denver,CO,80203,Contributions,Caucus Dues
Pete Lee Leadership Fund,Political Committee,-1000,5/6/21 0:00,Colorado Democratic Party Political Committee,Denver,CO,80203,Contributions,Offset Due To Deletion Of Filed Item - Caucus Dues
Pete Lee Leadership Fund,Political Committee,1000,5/6/21 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Caucus Dues
Unite Colorado,Political Committee,250,5/6/21 0:00,Polestar,Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
Colorado Democratic Party,Political Party Committee,22.64,5/7/21 0:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software License Fees
Colorado Democratic Party,Political Party Committee,31.44,5/7/21 0:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software License Fees
Leroy Garcia Leadership Fund,Political Committee,156.46,5/7/21 0:00,Stk Steakhouse,Denver,CO,80202,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,183.63,5/7/21 0:00,Stk Steakhouse,Denver,CO,80202,"Food, Beverages and Meals",Meeting
Mental Health Professionals United,Small Donor Committee,100,5/7/21 0:00,Black Democratic  Legislative Caucus,Denver,CO,80249,Contributions,Donation To Caucus
Tracy Kraft-Tharp Leadership Fund,Political Committee,45,5/7/21 0:00,Arvada Chamber Of Commerce,Arvada,CO,80002,"Food, Beverages and Meals",Meeting
Wine And Spirits Wholesalers Of Colorado Inc Pac,Political Committee,15,5/7/21 0:00,Bank Of America,Denver,CO,80206,Bank Fees,Remote Deposit Monthly Fee
Colorado Working Families Party Small Donor Committee,Small Donor Committee,3.46,5/9/21 0:00,Actblue Technical Services,Somerville,MA,2144,Fundraising Expenses,Donation Processing Fee
Combine,Small Donor Committee,40,5/9/21 0:00,Wild Apricot,Toronto,CA,ON M5J 2L7,Advertising,Wild Apricot Association Management
Sierra Club Small Donor Committee,Small Donor Committee,0.17,5/9/21 0:00,,,,,Bank Fees,Act Blue Check Fee
Foothills Republicans,Political Committee,31.16,5/10/21 0:00,Mary  Everson,Littleton,CO,80127,Other,Reimburse Mary Everson For Website Expenses
Jeni Arndt Leadership Fund,Political Committee,500,5/10/21 0:00,Jena Griswold For Colorado,Redacted,CO,0,Contributions,
Leroy Garcia Leadership Fund,Political Committee,400,5/10/21 0:00,Committee To Elect Leroy Garcia,Pueblo,CO,81005,Contributions,Contribution
Leroy Garcia Leadership Fund,Political Committee,49.42,5/10/21 0:00,Jorges,Pueblo,CO,81004,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,70.21,5/10/21 0:00,Sushi Garden,Pueblo,CO,81005,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,84.12,5/10/21 0:00,Little Ollie'S,Denver,CO,80206,"Food, Beverages and Meals",Meeting
Lundeen Leadership Fund,Political Committee,37.32,5/10/21 0:00,Warwick Hotel,Denver,CO,80203,Other,6890 ∑ Other Meeting Expense
Valdez For Colorado Rainbow Fund,Political Committee,18,5/10/21 0:00,Zoho,Pleasantville,CA,94588,Consultant & Professional Services,
Colorado Medical Society Small Donor Committee,Small Donor Committee,18.61,5/11/21 0:00,Wells Fargo Bank,Greenwood Village,CO,80112,Bank Fees,
Colorado Private School Association Political Committee (Cpsa),Political Committee,24.99,5/11/21 0:00,,,,,Bank Fees,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.97,5/11/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Doctors Company Colorado Pac (Colorado Docpac),Political Committee,187.18,5/11/21 0:00,Wells Fargo Bank,Santa Rosa,CA,95401,Bank Fees,Monthly Bank Fees
Friends Of Colorado Hospitals (F/K/A Hospitals Express Legislative Preference),Political Committee,50.24,5/11/21 0:00,,,,,Bank Fees,May Bank Fee
Griswold Leadership Pac,Political Committee,2,5/11/21 0:00,,,,,Bank Fees,
Leroy Garcia Leadership Fund,Political Committee,1,5/11/21 0:00,Denver City And County Parking Division,Denver,CO,80202,Travel & Lodging,Parking Meter
Leroy Garcia Leadership Fund,Political Committee,25.6,5/11/21 0:00,Fire Restaurant Denver,Denver,CO,80203,"Food, Beverages and Meals",Meeting
Lundeen Leadership Fund,Political Committee,102.56,5/11/21 0:00,The University Club,Denver,CO,80203,Other,6890 ∑ Other Meeting Expense
Lundeen Leadership Fund,Political Committee,8.75,5/11/21 0:00,Denver Public Works,Denver,CO,80203,Other,7657 ∑ Vehicle Tolls And Parking
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,-3000,5/11/21 0:00,All Together Colorado,Denver,CO,80206,Returned Expenditure,Returned Expenditure
Verizon Good Government Club Of Colorado,Political Committee,10.65,5/11/21 0:00,"Wells Fargo, N.A.",Charlotte,NC,28262,Bank Fees,Bank Fees
Edie Hooton Leadership Fund,Political Committee,13.93,5/12/21 0:00,Firstbank,Boulder,CO,80302,Bank Fees,
Leroy Garcia Leadership Fund,Political Committee,70.04,5/12/21 0:00,The University Club,Denver,CO,80203,"Food, Beverages and Meals",Meeting
United Colorado Committee,Political Party Committee,10,5/12/21 0:00,Godaddy.Com,Scottsdale,AZ,85260,Rent & Utilities,In Kind - Web Hosting
Blueflower Fund,Small Donor Committee,16.3,5/13/21 0:00,Zoom Video Communications,San Jose,CA,95133,Fundraising Expenses,
Dcta Fund (Formerly Political Action Committee),Small Donor Committee,2000,5/13/21 0:00,Kristen Seidel,Denver,CO,80224,Consultant & Professional Services,Consulting 4/19 - 4/30/2021
Dcta Fund (Formerly Political Action Committee),Small Donor Committee,150,5/13/21 0:00,Secretary Of State,Denver,CO,80290,Other,Sos Late Filing Fee
Leroy Garcia Leadership Fund,Political Committee,715.84,5/13/21 0:00,Stk Steakhouse,Denver,CO,80202,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,17,5/13/21 0:00,Colorado Valets,Denver,CO,80202,Travel & Lodging,Valet
The Coleman Leadership Fund,Political Committee,163.11,5/13/21 0:00,Zoom,San Jose,CA,95113,Other,Outreach
Colorado Dental Small Donor Committee,Small Donor Committee,6.53,5/14/21 0:00,Bok Financial,Denver,CO,80217-5945,Miscellaneous,Bank Fees
Colorado Radiological Society Political Committee,Political Committee,5,5/14/21 0:00,,,,,Bank Fees,
Committee For Physician Anesthesia Care,Political Committee,20,5/14/21 0:00,,,,,Bank Fees,
Leroy Garcia Leadership Fund,Political Committee,24.48,5/14/21 0:00,City O' City,Denver,CO,80203,"Food, Beverages and Meals",Meeting
Pettersen Pac,Political Committee,5,5/14/21 0:00,Us Bank,Lakewood,CO,80227,Bank Fees,
Avengers Pac,Political Committee,200,5/15/21 0:00,Libby Szabo For Jeffco,Arvada,CO,80005,Contributions,
Coloradans For Colorado,Small Donor Committee,15,5/15/21 0:00,Vectra Bank,Colorado Springs,CO,80903,Bank Fees,Catch Up On Bank Fees Charged Since Switching To Checking Account
Colorado Working Families Party Small Donor Committee,Small Donor Committee,0.37,5/16/21 0:00,Actblue Technical Services,Somerville,MA,2144,Fundraising Expenses,Donation Processing Fee
Building Bridges For Colorado,Political Committee,2,5/17/21 0:00,1St Bank,Lakewood,CO,80215,Bank Fees,
Griswold Leadership Pac,Political Committee,-4025,5/17/21 0:00,Colorado Democratic Party,Denver,CO,80203,Returned Expenditure,Contribution Return
Hilltop Victory Fund,Political Committee,1000,5/17/21 0:00,American Legislative Exchange Council,Arlington,VA,22202,Contributions,
Jeni Arndt Leadership Fund,Political Committee,2,5/17/21 0:00,1St Bank,Denver,CO,80218,Bank Fees,
Leroy Garcia Leadership Fund,Political Committee,1.25,5/17/21 0:00,Denver City And County Parking Division,Denver,CO,80202,Travel & Lodging,Parking Meter
Leroy Garcia Leadership Fund,Political Committee,129.38,5/17/21 0:00,La Forchetta Da Massi,Pueblo,CO,81003,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,13.99,5/17/21 0:00,Elmwood Golf Course,Pueblo,CO,81005,Entertainment,Clubhouse
Leroy Garcia Leadership Fund,Political Committee,37,5/17/21 0:00,Elmwood Golf Course,Pueblo,CO,81005,Entertainment,Fees
The Presidential Coalition - Colorado,Small Donor Committee,30,5/17/21 0:00,Bank Of America,Wilmington,DE,19850,Bank Fees,Misc Bank Fees
Colorado Democratic Party,Political Party Committee,3000,5/18/21 0:00,Defend Westminster,Westminster,CO,80035,Contributions,Contribution
Colorado Democratic Party,Political Party Committee,2000,5/18/21 0:00,"Tierney Lawrence, Llp",Denver,CO,80203,Consultant & Professional Services,Legal Fees
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.74,5/19/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Libertarian Party Of Colorado (Lpco),Political Party Committee,540.66,5/19/21 0:00,Bette Rose  Ryan,Lakewood,CO,80227,Office Equipment & Supplies,Event Projector
Lundeen Leadership Fund,Political Committee,50,5/19/21 0:00,"Sws Polifi, Llc",Lafayette,CO,80026,Other,7520 ∑ Accounting Fees
Noco Leadership Pac,Political Committee,50,5/19/21 0:00,Sws Polifi Llc,Fort Lupton,CO,80621,Consultant & Professional Services,
Colorado Democratic Party,Political Party Committee,2621.19,5/20/21 0:00,Matthew  Mcgovern,Denver,CO,80203,Employee Services,Payroll
Colorado Democratic Party,Political Party Committee,649.12,5/20/21 0:00,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,11.88,5/20/21 0:00,Quickbooks Payments,Woodland Hills,CA,91367,Bank Fees,
Uaw Region 8 Southwest States Pac (Colorado),Small Donor Committee,7,5/20/21 0:00,,,,,Bank Fees,
United Mine Workers Of America,Political Committee,1000,5/20/21 0:00,,,,,Contributions,Contribution To Non-Co Candidates
Laborer'S Local 720 Small Donor Committee,Small Donor Committee,2000,5/21/21 0:00,Jena Griswold For Colorado,Redacted,CO,0,Contributions,
Leroy Garcia Leadership Fund,Political Committee,80.75,5/21/21 0:00,Blue Agave Grill,Denver,CO,80202,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,41.26,5/21/21 0:00,Denver International Airport,Denver,CO,80249,"Food, Beverages and Meals",Food At Denver Airport
Black Women For Criminal Justice Reform,Small Donor Committee,0.04,5/22/21 0:00,,,,,Fundraising Expenses,
Colorado Working Families Party Small Donor Committee,Small Donor Committee,0.4,5/23/21 0:00,Actblue Technical Services,Somerville,MA,2144,Fundraising Expenses,Donation Processing Fee
Griswold Leadership Pac,Political Committee,24.69,5/23/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Credit Card Processing Fee
Libertarian Party Of Colorado (Lpco),Political Party Committee,5898.74,5/23/21 0:00,Denver West Marriott,Golden,CO,80401,Fundraising Expenses,2021 State Convention Venue
Libertarian Party Of Colorado (Lpco),Political Party Committee,5898.74,5/23/21 0:00,Denver West Marriott,Golden,CO,80401,Fundraising Expenses,2021 State Convention Venue
Colorado Democratic Party,Political Party Committee,50,5/24/21 0:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software License Fees
Democratic Women Of Boulder County-Small Donor Committee (Dwbc-Sdc),Small Donor Committee,5,5/24/21 0:00,Elevations Credit Union,Boulder,CO,80301,Bank Fees,Fee To Open New Bank Account
Leroy Garcia Leadership Fund,Political Committee,66,5/24/21 0:00,Denver City And County Parking Division,Denver,CO,80202,Travel & Lodging,Public Parking Garage
Leroy Garcia Leadership Fund,Political Committee,91.19,5/24/21 0:00,Hyatt Regency,Rio Grande,PR,745,Travel & Lodging,
Leroy Garcia Leadership Fund,Political Committee,150.58,5/24/21 0:00,:La Carreta @ Mia (Miami International Airport),Miami,FL,33126,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,30,5/24/21 0:00,United Airlines,Chicago,IL,60606,Travel & Lodging,Bag Fee
Libertarian Party Of Colorado (Lpco),Political Party Committee,1432.54,5/24/21 0:00,Kevin  Gulbranson,Aurora,CO,80016,Fundraising Expenses,2021 State Convention Materials
Libertarian Party Of Colorado (Lpco),Political Party Committee,13.25,5/24/21 0:00,Line2,San Francisco,CA,94111,Telephone,Telephone
Libertarian Party Of Colorado (Lpco),Political Party Committee,50,5/24/21 0:00,Libertarian Party Of Boulder County,Longmont,CO,80502-7575,Other,Join All Three Local
Valdez For Colorado Rainbow Fund,Political Committee,66.02,5/24/21 0:00,Mailchimp,Atlanta,GA,30308,Consultant & Professional Services,
Cheripac,Political Committee,102.59,5/25/21 0:00,T Mobile,Arvada,CO,80002,Telephone,Cell Phone
Leroy Garcia Leadership Fund,Political Committee,84.34,5/25/21 0:00,Ajo Del Pais,San Juan,PR,901,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,121.77,5/25/21 0:00,Margaritaville,Rio Grande,PR,745,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,268.05,5/25/21 0:00,Hyatt Regency,Rio Grande,PR,745,Travel & Lodging,Lodging
Leroy Garcia Leadership Fund,Political Committee,11.6,5/25/21 0:00,City O' City,Denver,CO,80203,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,30,5/25/21 0:00,United Airlines,Chicago,IL,60606,Travel & Lodging,Bag Fee
Libertarian Party Of Colorado (Lpco),Political Party Committee,250,5/25/21 0:00,Marc  Solomon,Denver,CO,80231,Entertainment,Music / Band At Convention
Colorado Democratic Party,Political Party Committee,1.99,5/26/21 0:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software License Fees
Copic Political Committee,Political Committee,400,5/26/21 0:00,Committee To Elect Hugh Mckean,Loveland,CO,80537,Contributions,Miscellaneous Campaign Contribution
Copic Political Committee,Political Committee,550,5/26/21 0:00,Noco Leadership Pac,Loveland,CO,80537,Contributions,Miscellaneous Campaign Contribution
Copic Small Donor Committee,Small Donor Committee,4400,5/26/21 0:00,Committee To Elect Hugh Mckean,Loveland,CO,80537,Contributions,Miscellaneous Campaign Contribution
Leroy Garcia Leadership Fund,Political Committee,170.76,5/26/21 0:00,Stk Steakhouse,Denver,CO,80202,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,26.21,5/26/21 0:00,King Soopers,Denver,CO,80218,"Food, Beverages and Meals",Snacks For Office
Let'S Win,Political Committee,400,5/26/21 0:00,Regina Maestri For City Council,Pueblo,CO,81003,Contributions,Local Election Contribution
Let'S Win,Political Committee,400,5/26/21 0:00,Mark Aliff For Pueblo City Council,Pueblo,CO,81003,Contributions,Local Election Contribution
Let'S Win,Political Committee,400,5/26/21 0:00,Heather Graham For City Council,Pueblo,CO,81003,Contributions,Local Election Contribution
Let'S Win,Political Committee,400,5/26/21 0:00,Nathan Baxter For Clerk,Pueblo,CO,81003,Contributions,Local Election Contribution
Libertarian Party Of Colorado (Lpco),Political Party Committee,25,5/26/21 0:00,Beatriz  Sutton,Parker,CO,80134,Fundraising Expenses,Convention Material
Libertarian Party Of Colorado (Lpco),Political Party Committee,144.4,5/26/21 0:00,Red Book Solutions,Chicago,IL,60693-0332,Fundraising Expenses,Convention Program Printing
Libertarian Party Of Colorado (Lpco),Political Party Committee,86.69,5/26/21 0:00,Ashley  Shade,North Adams,MA,1247,Fundraising Expenses,Taxi Fare Reimbursement
Libertarian Party Of Colorado (Lpco),Political Party Committee,4470.97,5/26/21 0:00,Denver West Marriott,Golden,CO,80401,Fundraising Expenses,2021 State Convention Venue
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.88,5/27/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Dcta Fund (Formerly Political Action Committee),Small Donor Committee,4000,5/27/21 0:00,Kristen Seidel,Denver,CO,80224,Consultant & Professional Services,Consulting From 5/1 - 5/31/ 2021
Green Party Of Colorado,Political Party Committee,89,5/27/21 0:00,Nationbuilder,Los Angeles,CA,90013,Fundraising Expenses,Nationbuilder May 2021
Libertarian Party Of Colorado (Lpco),Political Party Committee,545.6,5/27/21 0:00,Jo  Jorgensen,Greenville,SC,29601,Travel & Lodging,Jo Jorgensen Airfare
Libertarian Party Of Colorado (Lpco),Political Party Committee,25,5/27/21 0:00,Libertarian Party Of Douglas County,Castle Rock,CO,80104,Other,Join All Three Local
Valdez For Colorado Rainbow Fund,Political Committee,2,5/27/21 0:00,First Bank,Lakewood,CO,80215,Consultant & Professional Services,
Builders Supporting Home Ownership,Political Committee,3,5/28/21 0:00,Vectra Bank/Vectra Mortgage,Pueblo,CO,81002,Bank Fees,Bank Fee
Builders Supporting Home Ownership - Small Donor,Small Donor Committee,3,5/28/21 0:00,Vectra Bank,Denver,CO,80217,Bank Fees,Monthly Bank Fee
Builders Supporting Home Ownership - Small Donor,Small Donor Committee,-3,5/28/21 0:00,Vectra Bank,Denver,CO,80217,Bank Fees,Offset Due To Deletion Of Filed Item - Monthly Bank Fee
Colorado Cleantech Pac,Political Committee,10,5/28/21 0:00,Wells Fargo,Denver,CO,80202,Bank Fees,Bank Fees
Colorado Democratic Party,Political Party Committee,6,5/28/21 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fee
Colorado Democratic Party,Political Party Committee,2,5/28/21 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fee
Colorado Dental Hygienists Pac,Political Committee,12,5/28/21 0:00,Jpmorgan Chase Bank,Columbus,OH,43218-2051,Bank Fees,
Colorado Ski Country Usa Pac,Political Committee,2.5,5/28/21 0:00,,,,,Bank Fees,Bank Service Charge
Colorado Wins Sdc,Small Donor Committee,12,5/28/21 0:00,,,,,Bank Fees,
Dcta Fund (Formerly Political Action Committee),Small Donor Committee,2000,5/28/21 0:00,Kristen  Seidel,Denver,CO,80224,Consultant & Professional Services,Consulting
Democratic Women Of Boulder County-Small Donor Committee (Dwbc-Sdc),Small Donor Committee,500,5/28/21 0:00,Joe Neguse For Congress (Fec Committee Id: C00648253),Boulder,CO,80306,Contributions,"Fec Contributions (Total Fec Contributions Will Be < $1,000/Yr)"
Dlcc Colorado (Democratic Legislative Campaign Committee Colorado),Small Donor Committee,10,5/28/21 0:00,Amalgamated Bank,New York,NY,10001,Bank Fees,
Fenberg Leadership Fund,Political Committee,4,5/28/21 0:00,,,,,Bank Fees,Bank Fee
Forever Young Pac,Political Committee,15,5/28/21 0:00,Chase Bank,Greeley,CO,80634,Bank Fees,Monthly Service Fee
Home Care Pac,Political Committee,8,5/28/21 0:00,Keybank,Cleveland,OH,44101,Bank Fees,
Leroy Garcia Leadership Fund,Political Committee,102.45,5/28/21 0:00,Charlie Brown'S Bar And Grill,Denver,CO,80203,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,392.19,5/28/21 0:00,Ocean Prime,Denver,CO,80202,"Food, Beverages and Meals",Meeting
Libertarian Party Of Colorado (Lpco),Political Party Committee,75,5/28/21 0:00,Libertarian Party Of Jefferson County,Golden,CO,80403,Other,Join All Three Local
Mckean Small Donor Committee,Small Donor Committee,10,5/28/21 0:00,First Bank North,Arvada,CO,80006,Bank Fees,
Orale Fund,Political Committee,2,5/28/21 0:00,Firstbank,Denver,CO,80203,Bank Fees,
The Coleman Leadership Fund,Political Committee,4,5/28/21 0:00,1St Bank,Denver,CO,80249,Bank Fees,
Way To Lead Colorado,Political Committee,10,5/28/21 0:00,Amalgamated Bank,Washington,D.,20006,Bank Fees,
Duran For Colorado Leadership Fund,Political Committee,2,5/30/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
Architects Of Colorado Political Committee (Arcpac),Political Committee,2.5,5/31/21 0:00,Bank Of Denver,Denver,CO,80202,Bank Fees,
Architects Of Colorado Small Donor Committee,Small Donor Committee,2.5,5/31/21 0:00,Bank Of Denver,Denver,CO,80202,Bank Fees,
Colorado Credit Union Political Action Committee,Political Committee,29.55,5/31/21 0:00,Forte Payment Systems,Allen,TX,75013,Bank Fees,
Colorado Democratic Party,Political Party Committee,2,5/31/21 0:00,Firstbank,Lakewood,CO,80215,Other,Bank Fees
Colorado Dental Pac (Codpac),Political Committee,3.5,5/31/21 0:00,Bok Financial,Denver,CO,80217-5945,Miscellaneous,Bank Fees
Colorado State Fraternal Order Of Police Small Donor Committee (Fop),Small Donor Committee,12,5/31/21 0:00,Chase Bank,Westminster,CO,80031,Bank Fees,
Leadership For Educational Equity - Colorado Pac,Political Committee,18,5/31/21 0:00,Amalgamated Bank,New York,NY,10001,Bank Fees,
Naiop Colorado Pac,Political Committee,10,5/31/21 0:00,1Stbank Of Denver,Denver,CO,80202,Bank Fees,
Naiop Colorado Small Donor Committee,Small Donor Committee,10,5/31/21 0:00,1Stbank Of Denver,Denver,CO,80202,Bank Fees,
Pueblo County Teachers' Association Small Donor Committee (Pcta Sdc),Small Donor Committee,0.47,5/31/21 0:00,,,,,Bank Fees,
Realtor Candidate Political Action Committee (Rcpac) - Fka: Colorado Association Of Realtors Pac (Co,Political Committee,25,5/31/21 0:00,Firstbank,Fort Collins,CO,80525,Bank Fees,
Realtor Small Donor Committee (Rsdc),Small Donor Committee,25,5/31/21 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,
Southern Colorado Values Pac,Political Committee,4,5/31/21 0:00,Firstbank North,Arvada,CO,80006,Bank Fees,
Zenpac,Political Committee,3,5/31/21 0:00,Sooper Credit Union,Arvada,CO,80003,Bank Fees,
Coana Pac (Colorado Association Of Nurse Anesthetists Political Action Committee),Political Committee,25,6/1/21 0:00,Bank Of The West,Denver,CO,80206,Bank Fees,Bank Fee
Colorado Democratic Party,Political Party Committee,0.4,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,0.4,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,0.28,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,12.46,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,2,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,5.54,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,3.18,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,3.56,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,5.43,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,2.19,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,0.4,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,177.18,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Bank Fees,Merchant Fees
Colorado Democratic Party,Political Party Committee,89.29,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Bank Fees,Merchant Fees
Colorado Democratic Party,Political Party Committee,7.21,6/1/21 0:00,Actblue Technical Services,West Somerville,MA,2144,Other,Merchant Fees
Colorado Democratic Party,Political Party Committee,3.64,6/1/21 0:00,,,,,Miscellaneous,Merchant Fees
Democratic Women Of Boulder County-Small Donor Committee (Dwbc-Sdc),Small Donor Committee,1500,6/1/21 0:00,Phil Weiser For Colorado,Denver,CO,80230,Contributions,
Democratic Women Of Boulder County-Small Donor Committee (Dwbc-Sdc),Small Donor Committee,-500,6/1/21 0:00,Biden For President (Fec 1434870),Philadelphia,PA,19102,Returned Expenditure,Never Cashed The Check
Fenberg Leadership Fund,Political Committee,3350,6/1/21 0:00,State Democratic Senate Campaign Fund,Denver,CO,80204,Contributions,Democratic Senate Campaign Fund
Fields For Colorado Leadership Fund,Political Committee,52,6/1/21 0:00,Cci,Denver,CO,80202,Contributions,
Garnett Leadership Fund,Political Committee,338.71,6/1/21 0:00,,,,,"Food, Beverages and Meals",
Highlands Ranch Republican Leadership Pac (Hrgop-Pac),Political Committee,200,6/1/21 0:00,Libby Szabo For Jeffco,Arvada,CO,80005,Contributions,
Leroy Garcia Leadership Fund,Political Committee,103.24,6/1/21 0:00,La Forchetta Da Massi,Pueblo,CO,81003,"Food, Beverages and Meals",Meeting
Leroy Garcia Leadership Fund,Political Committee,22.5,6/1/21 0:00,Elmwood Golf Course,Pueblo,CO,81005,Entertainment,Meeting
Leroy Garcia Leadership Fund,Political Committee,299.51,6/1/21 0:00,Eddie V'S Prime Seafood,Greenwood Village,CO,80111,"Food, Beverages and Meals",Meeting
Reagan Club Pc,Political Committee,39.87,6/1/21 0:00,Adams County Republican Central Committee,Commerce City,CO,80022,Contributions,
Susan Lontine Leadership Fund,Political Committee,2,6/1/21 0:00,1St Bank,Lakewood,CO,80215,Bank Fees,
Terri Pac,Political Committee,10,6/1/21 0:00,,,,,Bank Fees,
United Colorado Committee,Political Party Committee,138,6/1/21 0:00,Ups Store,Breckenridge,CO,80424,Rent & Utilities,In Kind - Mailbox Fee
Colorado Democratic Party,Political Party Committee,102.9,6/2/21 0:00,Bankcard Associates,Wayzata,MN,55391,Bank Fees,Merchant Fees
Colorado Democratic Party,Political Party Committee,132.52,6/2/21 0:00,Bankcard Associates,Wayzata,MN,55391,Bank Fees,Merchant Fees
Colorado Democratic Party,Political Party Committee,22.5,6/2/21 0:00,First Data,Atlanta,GA,30342,Bank Fees,Merchant Fees
Colorado Energy Education Pac (Ceepac),Political Committee,10,6/2/21 0:00,Umb Bank,Denver,CO,80222,Bank Fees,
