District,candidate,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 07,"Bacon, Jennifer",32.48,8/9/21 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Other,Newsletter
House District 07,"Bacon, Jennifer",6.5,8/23/21 0:00,Wix,San Fransico,CA,91909,Other,Website
House District 07,"Bacon, Jennifer",250,8/27/21 0:00,African Leadership Group,Aurora,CO,80014,Advertising,Gala Ad
House District 07,"Bacon, Jennifer",2,8/31/21 0:00,Firstbank,Denver,CO,80249,Advertising,Bank Fees
House District 07,"Bacon, Jennifer",32.48,9/8/21 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Other,Newsletter
House District 07,"Bacon, Jennifer",74.58,9/20/21 0:00,Fedex,Denver,CO,80207,Office Equipment & Supplies,Townhall Materials
House District 07,"Bacon, Jennifer",6.5,9/22/21 0:00,Wix,San Fransico,CA,91909,Other,Website
House District 07,"Bacon, Jennifer",8.24,9/30/21 0:00,Actblue Technical,Somerville,MA,2114,Other,Actblue Fees
House District 07,"Bacon, Jennifer",2,9/30/21 0:00,Firstbank,Denver,CO,80249,Bank Fees,Bank Fees
House District 07,"Bacon, Jennifer",32.33,12/8/20 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Miscellaneous,
House District 07,"Bacon, Jennifer",88,12/21/20 0:00,Ikea,Centennial,CO,80112,Other,Office
House District 07,"Bacon, Jennifer",6.5,12/22/20 0:00,Wix,San Fransico,CA,91909,Miscellaneous,Web
House District 07,"Bacon, Jennifer",518.8,12/30/20 0:00,Dark Horse Denim Co,Denver,CO,80239,Other,Hd-7 Campaign Shirts
House District 07,"Bacon, Jennifer",2,12/31/20 0:00,Firstbank,Denver,CO,80249,Bank Fees,
House District 07,"Bacon, Jennifer",32.48,1/10/22 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Miscellaneous,Digital Newsletter
House District 07,"Bacon, Jennifer",221,1/17/22 0:00,Mailbox Express,Denver,CO,80239,Rent & Utilities,Mail Box
House District 07,"Bacon, Jennifer",6.5,1/24/22 0:00,Wix,San Fransico,CA,91909,Miscellaneous,Website
House District 07,"Bacon, Jennifer",2,1/31/22 0:00,Firstbank,Denver,CO,80249,Miscellaneous,Bank Card Fee
House District 07,"Bacon, Jennifer",32.48,2/10/22 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Miscellaneous,Newsletter
House District 07,"Bacon, Jennifer",6.5,2/24/22 0:00,Wix,San Fransico,CA,91909,Miscellaneous,Website
House District 07,"Bacon, Jennifer",2,2/28/22 0:00,Firstbank,Denver,CO,80249,Miscellaneous,Bank Card Fees
House District 07,"Bacon, Jennifer",234.68,2/28/22 0:00,Miss Peabody;S Southern Tea Cakes,Denver,CO,80239,"Food, Beverages and Meals",Caucus Black History Month
House District 07,"Bacon, Jennifer",34.38,3/5/22 0:00,Fedex,Denver,CO,80207,Miscellaneous,Boxes Mailing
House District 07,"Bacon, Jennifer",32.48,3/10/22 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Miscellaneous,Newsletter
House District 07,"Bacon, Jennifer",6.5,3/24/22 0:00,Wix,San Fransico,CA,91909,Miscellaneous,Website
House District 07,"Bacon, Jennifer",184.43,3/27/22 0:00,Costco,Denver,CO,80012,"Food, Beverages and Meals",Assembly Coffee And Food
House District 07,"Bacon, Jennifer",2,3/31/22 0:00,Firstbank,Denver,CO,80249,Miscellaneous,Bank Card Fees
House District 07,"Bacon, Jennifer",32.48,4/10/22 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Miscellaneous,Newsletter
House District 07,"Bacon, Jennifer",6.5,4/24/22 0:00,Wix,San Fransico,CA,91909,Miscellaneous,Website
House District 07,"Bacon, Jennifer",6.71,4/26/22 0:00,Actblue Technical,Somerville,MA,2114,Miscellaneous,Processing Fees
House District 07,"Bacon, Jennifer",2,4/29/22 0:00,Firstbank,Denver,CO,80249,Miscellaneous,Bank Card Fees
House District 07,"Bacon, Jennifer",0.4,4/29/22 0:00,,,,,Miscellaneous,Act Blue Fees
House District 07,"Bacon, Jennifer",225,5/1/22 0:00,Sims-Fayola Foundation,Denver,CO,80237,Fundraising Expenses,Student Outreach Event/Support
House District 07,"Bacon, Jennifer",35.64,5/9/22 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Other,Newsletter
House District 07,"Bacon, Jennifer",12,5/11/22 0:00,Firstbank,Denver,CO,80249,Bank Fees,Bank Fees
House District 07,"Bacon, Jennifer",32.48,10/8/21 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Miscellaneous,Newsletter
House District 07,"Bacon, Jennifer",6.5,10/22/21 0:00,Wix,San Fransico,CA,91909,Miscellaneous,Website
House District 07,"Bacon, Jennifer",2,10/29/21 0:00,Firstbank,Denver,CO,80249,Bank Fees,Bank Card Fees
House District 07,"Bacon, Jennifer",30.92,10/29/21 0:00,Humbolt Kitchen And Bar,Denver,CO,80218,"Food, Beverages and Meals",Constituent Meeting
House District 07,"Bacon, Jennifer",10.78,11/3/21 0:00,Mcdonlds,Brush,CO,80723,"Food, Beverages and Meals",Travel Meal
House District 07,"Bacon, Jennifer",32.48,11/8/21 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Miscellaneous,Newsletter
House District 07,"Bacon, Jennifer",204,11/19/21 0:00,Wix,San Fransico,CA,91909,Miscellaneous,Website
House District 07,"Bacon, Jennifer",6.5,11/22/21 0:00,Wix,San Fransico,CA,91909,Miscellaneous,Website
House District 07,"Bacon, Jennifer",2,11/30/21 0:00,Firstbank,Denver,CO,80249,Bank Fees,Bank Fee
House District 07,"Bacon, Jennifer",57.08,12/3/21 0:00,Kum & Go,Denver,CO,80239,Miscellaneous,Holiday Thank You Cards
House District 07,"Bacon, Jennifer",32.48,12/8/21 0:00,Mailchimp C/O The Rocket Science Group Llc,Atlanta,CO,30319,Miscellaneous,Newsletter
House District 07,"Bacon, Jennifer",6.5,12/22/21 0:00,Wix,San Fransico,CA,91909,Miscellaneous,Website
House District 07,"Bacon, Jennifer",2,12/31/21 0:00,Firstbank,Denver,CO,80249,Bank Fees,Bank Fee
House District 08,"Herod, Leslie",25.03,1/4/21 0:00,Google Gsuite,Mountain View,CA,94043,Advertising,
House District 08,"Herod, Leslie",18.17,1/8/21 0:00,Godaddy.Com,Scottsdale,AZ,85260,Advertising,
House District 08,"Herod, Leslie",2000,1/14/21 0:00,House Democratic Petty Cash Fund,Denver,CO,80202,Contributions,
House District 08,"Herod, Leslie",1700,1/19/21 0:00,Sophia  Hackett,Denver,CO,80203,Consultant & Professional Services,
House District 08,"Herod, Leslie",9.99,1/25/21 0:00,Google Gsuite,Mountain View,CA,94043,Office Equipment & Supplies,
House District 08,"Herod, Leslie",146,1/27/21 0:00,Usps,Denver,CO,80218,Office Equipment & Supplies,
House District 08,"Herod, Leslie",3.99,1/27/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",149,1/28/21 0:00,Colorado Politics,Denver,CO,80203,Other,Colorado Politics Subscription
House District 08,"Herod, Leslie",4,1/29/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",125,2/1/21 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",29,2/2/21 0:00,Google Gsuite,Mountain View,CA,94043,Advertising,
House District 08,"Herod, Leslie",22.32,2/3/21 0:00,The Denver Post,Denver,CO,80216,Other,Denver Post Subscription
House District 08,"Herod, Leslie",2.99,2/5/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",34.93,2/5/21 0:00,Amazon Marketplace,Seattle,WA,98107,Office Equipment & Supplies,
House District 08,"Herod, Leslie",27.18,2/10/21 0:00,Amazon Marketplace,Seattle,WA,98107,Office Equipment & Supplies,
House District 08,"Herod, Leslie",1.99,2/10/21 0:00,Google,Mountain View,CA,94043,Advertising,
House District 08,"Herod, Leslie",3.99,2/22/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",9.99,2/24/21 0:00,Google,Mountain View,CA,94043,Advertising,
House District 08,"Herod, Leslie",4,2/26/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",22.32,3/1/21 0:00,The Denver Post,Denver,CO,80216,Other,Denver Post Circulation
House District 08,"Herod, Leslie",125,3/1/21 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",31.44,3/2/21 0:00,Google,Mountain View,CA,94043,Advertising,
House District 08,"Herod, Leslie",52.4,3/8/21 0:00,Amazon Marketplace,Seattle,WA,98107,Office Equipment & Supplies,
House District 08,"Herod, Leslie",2.99,3/8/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",33.72,3/12/21 0:00,Amazon Marketplace,Seattle,WA,98107,Office Equipment & Supplies,
House District 08,"Herod, Leslie",37.25,3/12/21 0:00,Amazon Marketplace,Seattle,WA,98107,Office Equipment & Supplies,
House District 08,"Herod, Leslie",3.99,3/22/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",137.33,3/23/21 0:00,Little Flower Shop,Denver,CO,80210,Gifts,
House District 08,"Herod, Leslie",9.99,3/24/21 0:00,Google Gsuite,Mountain View,CA,94043,Advertising,
House District 08,"Herod, Leslie",22.32,3/24/21 0:00,The Denver Post,Denver,CO,80216,Other,Denver Post Subscription
House District 08,"Herod, Leslie",125,3/31/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",4,3/31/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",31.44,4/1/21 0:00,Google Gsuite,Mountain View,CA,94043,Office Equipment & Supplies,
House District 08,"Herod, Leslie",2.99,4/5/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",22.32,4/21/21 0:00,The Denver Post,Denver,CO,80216,Other,Denver Post Subscription
House District 08,"Herod, Leslie",3.99,4/22/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",125,4/30/21 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",4,4/30/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",163.11,5/13/21 0:00,Zoom,San Jose,CA,95113,Miscellaneous,Zoom Subscription
House District 08,"Herod, Leslie",6.98,5/24/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",11.98,5/24/21 0:00,Google Gsuite,Mountain View,CA,94043,Miscellaneous,Google Storage
House District 08,"Herod, Leslie",2900,5/25/21 0:00,Sophia  Hackett,Denver,CO,80203,Consultant & Professional Services,
House District 08,"Herod, Leslie",1500,5/25/21 0:00,Isaiah  Jakab,Wheat Ridge,CO,80033,Consultant & Professional Services,
House District 08,"Herod, Leslie",4,5/28/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",1200,6/16/21 0:00,Sophia  Hackett,Denver,CO,80203,Consultant & Professional Services,
House District 08,"Herod, Leslie",4,6/30/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",255,7/1/21 0:00,Isaiah  Jakab,Wheat Ridge,CO,80033,Consultant & Professional Services,
House District 08,"Herod, Leslie",31.44,7/2/21 0:00,Google,Mountain View,CA,94043,Advertising,
House District 08,"Herod, Leslie",299,7/6/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",2.99,7/6/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",1.99,7/12/21 0:00,Google,Mountain View,CA,94043,Miscellaneous,Google Storage
House District 08,"Herod, Leslie",1.99,7/14/21 0:00,The Denver Post,Denver,CO,80216,Miscellaneous,Denver Post Subscription
House District 08,"Herod, Leslie",3.99,7/22/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",3.99,7/23/21 0:00,Google,Mountain View,CA,94043,Miscellaneous,Storage
House District 08,"Herod, Leslie",4,7/30/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",125,8/2/21 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",1100,8/2/21 0:00,Sophia  Hackett,Denver,CO,80203,Consultant & Professional Services,
House District 08,"Herod, Leslie",31.44,8/3/21 0:00,Google Gsuite,Mountain View,CA,94043,Miscellaneous,Google Suite
House District 08,"Herod, Leslie",22.32,8/4/21 0:00,The Denver Post,Denver,CO,80216,Miscellaneous,
House District 08,"Herod, Leslie",2.99,8/5/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",1.99,8/10/21 0:00,Google,Mountain View,CA,94043,Miscellaneous,Google Storage
House District 08,"Herod, Leslie",3.99,8/23/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",9.99,8/23/21 0:00,Google Gsuite,Mountain View,CA,94043,Miscellaneous,Google Suite
House District 08,"Herod, Leslie",125,8/31/21 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",4,8/31/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",22.32,9/1/21 0:00,The Denver Post,Denver,CO,80216,Miscellaneous,Denver Post Subscription
House District 08,"Herod, Leslie",31.44,9/2/21 0:00,Google Gsuite,Mountain View,CA,94043,Miscellaneous,Google Suite
House District 08,"Herod, Leslie",2.99,9/7/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",1.99,9/13/21 0:00,Google,Mountain View,CA,94043,Miscellaneous,Google Storage
House District 08,"Herod, Leslie",3.99,9/22/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",9.99,9/24/21 0:00,Google Gsuite,Mountain View,CA,94043,Miscellaneous,Google Suite
House District 08,"Herod, Leslie",792.3,9/27/21 0:00,United Airlines,Chicago,IL,60606,Travel & Lodging,
House District 08,"Herod, Leslie",22.32,9/29/21 0:00,The Denver Post,Denver,CO,80216,Miscellaneous,Denver Post Subscription
House District 08,"Herod, Leslie",4,9/29/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",125,9/30/21 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",31.44,1/3/22 0:00,Google Gsuite,Mountain View,CA,94043,Other,Google Suite
House District 08,"Herod, Leslie",2.99,1/5/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",19.17,1/6/22 0:00,Godaddy.Com,Scottsdale,AZ,85260,Advertising,
House District 08,"Herod, Leslie",22.32,1/12/22 0:00,The Denver Post,Denver,CO,80216,Other,Denver Post Subscription
House District 08,"Herod, Leslie",182,1/18/22 0:00,Park Hill Post Office,Denver,CO,80207,Other,P.O. Box Rental
House District 08,"Herod, Leslie",3.99,1/24/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",9.99,1/24/22 0:00,Google,Mountain View,CA,94043,Other,Google Storage
House District 08,"Herod, Leslie",149,1/27/22 0:00,Colorado Politics,Denver,CO,80203,Other,Colorado Politics Subscription
House District 08,"Herod, Leslie",372,1/31/22 0:00,United Airlines,Chicago,IL,60606,Travel & Lodging,
House District 08,"Herod, Leslie",4,1/31/22 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",290,2/7/22 0:00,House Democratic Petty Cash Fund,Denver,CO,80203,Other,Hdpcf Dues
House District 08,"Herod, Leslie",923.04,2/15/22 0:00,Phoebe  Blessing,Denver,CO,80206,Consultant & Professional Services,
House District 08,"Herod, Leslie",119.89,2/17/22 0:00,Staples,Glendale,CO,80246,Office Equipment & Supplies,
House District 08,"Herod, Leslie",22.02,2/18/22 0:00,Amazon Marketplace,Seattle,WA,98107,Office Equipment & Supplies,
House District 08,"Herod, Leslie",17.39,2/18/22 0:00,Staples,Glendale,CO,80246,Office Equipment & Supplies,
House District 08,"Herod, Leslie",1.99,2/18/22 0:00,Google Gsuite,Mountain View,CA,94043,Other,Google Suite Storage
House District 08,"Herod, Leslie",115.33,2/22/22 0:00,Amazon Marketplace,Seattle,WA,98107,Office Equipment & Supplies,
House District 08,"Herod, Leslie",3.99,2/22/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",923.04,2/28/22 0:00,Phoebe  Blessing,Denver,CO,80206,Consultant & Professional Services,
House District 08,"Herod, Leslie",400,3/3/22 0:00,Kristina  Krasteva,Denver,CO,80206,Consultant & Professional Services,
House District 08,"Herod, Leslie",25.85,3/7/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",199.99,3/7/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",1.99,3/7/22 0:00,Google,Mountain View,CA,94043,Other,Google Storage
House District 08,"Herod, Leslie",3333.33,3/18/22 0:00,Phoebe  Blessing,Denver,CO,80206,Consultant & Professional Services,
House District 08,"Herod, Leslie",22.32,3/29/22 0:00,The Denver Post,Denver,CO,80216,Other,Denver Post Subscription
House District 08,"Herod, Leslie",4,3/31/22 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",31.44,4/4/22 0:00,Google,Mountain View,CA,94043,Other,Google Suite
House District 08,"Herod, Leslie",2.99,4/5/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",125,4/5/22 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",3333.33,4/6/22 0:00,Phoebe  Blessing,Denver,CO,80206,Consultant & Professional Services,
House District 08,"Herod, Leslie",47.7,4/11/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",399.99,4/11/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",1.99,4/22/22 0:00,Google,Mountain View,CA,94043,Other,Google Storage
House District 08,"Herod, Leslie",399.99,4/25/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",22.32,4/27/22 0:00,The Denver Post,Denver,CO,80216,Other,Denver Post Subscription
House District 08,"Herod, Leslie",4,4/27/22 0:00,The Denver Post,Denver,CO,80216,Bank Fees,
House District 08,"Herod, Leslie",4,4/29/22 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",31.44,5/2/22 0:00,Google Gsuite,Mountain View,CA,94043,Other,Google Suite
House District 08,"Herod, Leslie",399,5/5/22 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",586.2,5/6/22 0:00,United Airlines,Chicago,IL,60606,Travel & Lodging,
House District 08,"Herod, Leslie",299,5/9/22 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",4,10/5/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",125,10/22/21 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",3.99,10/22/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",9.99,10/23/21 0:00,Google Gsuite,Mountain View,CA,94043,Gifts,Google Suite Storage
House District 08,"Herod, Leslie",22.32,10/30/21 0:00,The Denver Post,Denver,CO,80216,Miscellaneous,Denver Post Subscription
House District 08,"Herod, Leslie",4,11/4/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",125,11/19/21 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",3.99,11/19/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",9.99,11/22/21 0:00,Google Gsuite,Mountain View,CA,94043,Miscellaneous,Google Suite Storage
House District 08,"Herod, Leslie",22.32,11/30/21 0:00,The Denver Post,Denver,CO,80216,Miscellaneous,
House District 08,"Herod, Leslie",4,12/5/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
House District 08,"Herod, Leslie",3.99,12/20/21 0:00,Wix.Com,San Francisco,CO,94140,Advertising,
House District 08,"Herod, Leslie",9.99,12/21/21 0:00,Google Gsuite,Mountain View,CA,94043,Miscellaneous,Google Suite Storage
House District 08,"Herod, Leslie",125,12/22/21 0:00,Constant Contact,Waltham,MA,2451,Advertising,
House District 08,"Herod, Leslie",22.32,12/31/21 0:00,The Denver Post,Denver,CO,80216,Miscellaneous,Denver Post Subscription
House District 08,"Waters, Hilleary",,,,,,,,
House District 09,"Sirota, Emily",246.97,1/11/21 0:00,"Wix.Com, Inc",New York,NY,10011,Advertising,
House District 09,"Sirota, Emily",48,1/25/21 0:00,Google,Mountain View,CA,94043,Advertising,
House District 09,"Sirota, Emily",66.02,1/25/21 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",15,2/10/21 0:00,"Jbl & Co, Cpas, Llc",Denver,CO,80222,Employee Services,
House District 09,"Sirota, Emily",188,2/16/21 0:00,Usps,Washington,DC,20260,Rent & Utilities,
House District 09,"Sirota, Emily",66.02,2/25/21 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",66.02,3/26/21 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",59.11,3/31/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 09,"Sirota, Emily",8,3/31/21 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 09,"Sirota, Emily",54.49,4/26/21 0:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 09,"Sirota, Emily",54.49,5/25/21 0:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 09,"Sirota, Emily",60,6/9/21 0:00,Madeline  Zann,Denver,CO,80203,Employee Services,
House District 09,"Sirota, Emily",54.49,6/28/21 0:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 09,"Sirota, Emily",7.6,6/30/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 09,"Sirota, Emily",6,6/30/21 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 09,"Sirota, Emily",54.49,7/26/21 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",154,8/23/21 0:00,Arapahoe County Democratic Party,Aurora,CO,80014-2644,Contributions,Pat Schroeder Annual Dinner
House District 09,"Sirota, Emily",54.49,8/25/21 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",383.64,9/23/21 0:00,Intermountain Jewish News,Denver,CO,80203,Advertising,
House District 09,"Sirota, Emily",54.49,9/27/21 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",6,9/30/21 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 09,"Sirota, Emily",7.77,9/30/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 09,"Sirota, Emily",416.5,12/4/20 0:00,Community Labor Administrative Services,Brooklyn,NY,11201,Office Equipment & Supplies,
House District 09,"Sirota, Emily",1574.02,12/11/20 0:00,Colorado Democratic Party Political Committee,Denver,CO,80203,Contributions,
House District 09,"Sirota, Emily",65.7,12/28/20 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",24,1/22/22 0:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,
House District 09,"Sirota, Emily",54.49,1/22/22 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",212,2/16/22 0:00,Usps,Washington,DC,20260,Office Equipment & Supplies,
House District 09,"Sirota, Emily",49.25,2/25/22 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",250,2/28/22 0:00,Colorado Democratic Party,Denver,CO,80203,Office Equipment & Supplies,Voter File Payment
House District 09,"Sirota, Emily",49.25,3/25/22 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",49.25,4/25/22 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",6,4/27/22 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 09,"Sirota, Emily",24.54,4/27/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 09,"Sirota, Emily",13.65,5/11/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 09,"Sirota, Emily",54.49,10/25/21 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",290,11/11/21 0:00,House Democrats Pcf,Denver,CO,80302,Miscellaneous,
House District 09,"Sirota, Emily",3350,11/15/21 0:00,Colorado Democratic Party,Denver,CO,80203,Contributions,Caucus Dues
House District 09,"Sirota, Emily",54.49,11/26/21 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",7.25,12/13/21 0:00,Ahec Parking,Denver,CO,80204,Travel & Lodging,
House District 09,"Sirota, Emily",54.49,12/27/21 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
House District 09,"Sirota, Emily",7.57,12/31/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 09,"Sirota, Emily",6,12/31/21 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 09,"Cowhick, Thomas",,,,,,,,
House District 10,"Hooton, Edie",1329.84,1/5/21 0:00,Cooper  Bohm,Boulder,CO,80304,Employee Services,
House District 10,"Hooton, Edie",987.24,1/5/21 0:00,Richard J Valenty,Boulder,CO,80304,Employee Services,
House District 10,"Hooton, Edie",48,1/7/21 0:00,Colorado Dept. Of Revenue,Denver,CO,80261,Other,Taxes
House District 10,"Hooton, Edie",476.88,1/8/21 0:00,Internal Revenue Service,Denver,CO,80202,Other,Taxes
House District 10,"Hooton, Edie",9.88,1/10/21 0:00,Actblue,Sommerville,MA,2144,Fundraising Expenses,
House District 10,"Hooton, Edie",123,1/12/21 0:00,Easytrack Payroll,Boulder,CO,80303,Consultant & Professional Services,
House District 10,"Hooton, Edie",2,1/12/21 0:00,Firstbank,Boulder,CO,80301,Bank Fees,
House District 10,"Hooton, Edie",31.6,1/17/21 0:00,Actblue,Sommerville,MA,2144,Fundraising Expenses,
House District 10,"Hooton, Edie",65.42,1/19/21 0:00,Mailchimp,Atlanta,GA,30308,Other,Email
House District 10,"Hooton, Edie",1329.84,1/20/21 0:00,Cooper  Bohm,Boulder,CO,80304,Employee Services,
House District 10,"Hooton, Edie",987.24,1/20/21 0:00,Richard J Valenty,Boulder,CO,80304,Employee Services,
House District 10,"Hooton, Edie",1000,1/22/21 0:00,Cooper  Bohm,Boulder,CO,80304,Employee Services,
House District 10,"Hooton, Edie",48,1/26/21 0:00,Colorado Dept. Of Revenue,Denver,CO,80261,Other,Taxes
House District 10,"Hooton, Edie",476.88,1/27/21 0:00,Internal Revenue Service,Denver,CO,80202,Other,Taxes
House District 10,"Hooton, Edie",500,1/27/21 0:00,William  Truesdell,Boulder,CO,80304,Employee Services,
House District 10,"Hooton, Edie",94.93,2/1/21 0:00,Internal Revenue Service,Denver,CO,80202,Other,Taxes
House District 10,"Hooton, Edie",1214.29,2/4/21 0:00,Cooper  Bohm,Boulder,CO,80304,Employee Services,
